sentence1,sentence2,score
The defense cannot appeal Roush's ruling until after the trial.,"Defense lawyers cannot appeal the ruling until after trial, in the appellate courts.",0.68
The committee was appointed by Defense Secretary Donald Rumsfeld under orders from Congress.,The public hearing is the second for the panel created by Defense Secretary Donald Rumsfeld under pressure from Congress.,0.52
"Former Indiana Rep. Frank McCloskey, 64, died Sunday in Bloomington after a battle with bladder cancer.",McCloskey died Sunday afternoon in his home after a year-long battle with bladder cancer.,0.65
Hospitals and the Red Cross appealed to blood donors yesterday.,The Connecticut Hospital Association joined the Red Cross Monday in calling for more blood donors.,0.75
mexico wishes to guarantee citizens' safety. ,mexico wishes to avoid more violence.,0.8
spain currently holds the rotating presidency of the osce. ,spain currently holds the osce's presidency.,0.84
the treaty was first signed in 1990. ,the cfe treaty was signed in 1990.,0.84
gorgich and pashtoon were executed in prison. ,gorgich and pashtoon were executed for trafficking heroin in sistan-baluchestan province.,0.64
safe bourada was sentenced to 15 years in prison. ,djamel badaoui was sentenced to five years.,0.12
santos stated the radioactive material was the primary basis for generating crude weapons of mass destruction and terrorism. ,uranium is a radioactive material which is the primary basis for generating dirty weapons of mass destruction and terrorism.,0.72
fulvio berghella stated that the digital worm named sq hell was particularly virulent and replicated itself at the rate of 8000 times an hour. ,fulvio berghella stated that the digital worm named sq hell has a very high capacity to replicate itself and the digital worm named sq hell is slowing down the poste italiane computer network and making some computers inoperable.,0.72
ingo kober stated there is larger interest in intellectual property rights now than 20 or 30 years ago. ,ingo kober stated that some nations had stronger intellectual property rights than others.,0.4
investigators claim the british company was a cia cover. ,russian investigators stated that the british company was a cia cover.,0.88
russia and nato member countries will hold meetings this fall on the conventional forces in europe treaty (cfe). ,russian parliament voted unanimously to suspend russia's participation in the conventional forces in europe (cfe) treaty.,0.28
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia. ,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,0.92
russia would not immediately increase military strength along russian borders. ,russia would not hesitate to increase military strength along russian borders if the need arises.,0.4
the center will be operational in august 2008. ,the center will formally open in 2009.,0.44
brazilian police surrounding slums north of rio de janeiro to rid them of violent drug traffickers. ,the police officers surrounded the slums north of rio de janeiro to rid them of violent drug traffickers and seize weapons and drugs.,0.76
regional and international non-proliferation issues should be addressed through dialogue and negotiations. ,the second proposal was that regional and international non-proliferation issues should be addressed through dialogue and negotiations.,0.72
bombing occurred in afghanistan as attacks by anti-government insurgents increase in recent days. ,a bombing occurred in afghanistan but police have not yet stated who is responsible.,0.52
georgian government websites are under intense cyber attack following russian military strikes against georgia late last week. ,the cyber attacks follow russian military strikes launched against georgia late last week.,0.96
switzerland's trade and diplomatic relations with iran have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a deal with iran's state gas firm. ,switzerland's trade and diplomatic relations with the islamic republic have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a gas deal.,0.76
"the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe. ",the conventional forces in europe treaty was signed by russian and nato members in 1990.,0.56
the african union has proposed a peacekeeping mission to help somalia's struggling transitional government stabilize somalia. ,"the african union has proposed a peacekeeping mission to aid the struggling transitional government in stabilizing somalia, particularly after the withdrawal of ethiopian forces.",0.72
reports state that the syrian government was concealing a nuclear facility at the attacked site. ,u.n. experts have begun analyzing reports that state the syrian government was concealing a nuclear facility at the attacked site.,0.84
the drug is also known as ice or shabu. ,methamphetamine is also known as ice.,0.68
"national, regional and international efforts to end the illicit trade in small arms and light weapons. ",the global community must cooperate to end illicit trade of small arms and light weapons.,0.8
religious extremism continues in pakistan despite the banning of militant groups. ,religious extremism continues in pakistan despite the banning of militant groups by the pakistani government.,0.8
russian officials have called for a conference on the conventional forces in europe treaty to discuss ratification of the amended treaty. ,antonov spoke the day before a conference on the conventional forces in europe treaty.,0.64
russian president putin signs decree suspending russia's application of european arms control treaty. ,president vladimir putin signed a decree suspending russia's participation in the conventional forces in europe treaty.,0.88
myanmar was formerly known as burma. ,myanmar was formerly called burma.,1.0
alto huallaga is located northeast of the capital lima. ,"puerto cabezas is located 557 km northeast of managua, nicaragua.",0.0
nato regrets russia's decision to suspend participation in the cfe. ,russia's decision to suspend participation in the cfe is a step in the wrong direction.,0.76
"human rights violations in myanmar include summary executions, torture and the recruitment of child soldiers. ","these human rights violations include summary executions, torture and the recruitment of child",0.84
general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency. ,general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,0.48
